screen,proposed_key,english,te (Telugu),hi (Hindi),ta (Tamil),kn (Kannada),mr (Marathi),ml (Malayalam),gu (Gujarati),bn (Bangla),pa (Punjabi)
# Fill the 9 language columns. English is the source. Leave a cell blank to fall back to English.
# These are the strings on the Dashboard / Profile / Login screens that currently show English in every language.
# nav.* / home.* / services.* / donate.* / common.* are ALREADY translated in src/lib/i18n/translations.ts — reuse those where they match.
Dashboard,dashboard.tab.overview,Overview,,,,,,,,,
Dashboard,dashboard.tab.bookings,Bookings,,,,,,,,,
Dashboard,dashboard.tab.donations,Donations,,,,,,,,,
Dashboard,dashboard.tab.profile,Profile,,,,,,,,,
Dashboard,dashboard.greeting,Namaste,,,,,,,,,
Dashboard,dashboard.welcome,"Welcome to your devotee portal. Manage your services, donations, and spiritual journey.",,,,,,,,,
Dashboard,dashboard.bookService,Book a Service,,,,,,,,,
Dashboard,dashboard.makeDonation,Make a Donation,,,,,,,,,
Dashboard,dashboard.totalDonated,Total Donated,,,,,,,,,
Dashboard,dashboard.servicesBooked,Services Booked,,,,,,,,,
Dashboard,dashboard.upcoming,Upcoming,,,,,,,,,
Dashboard,dashboard.recurring,Recurring,,,,,,,,,
Dashboard,dashboard.recurringTotal,Recurring total,,,,,,,,,
Dashboard,dashboard.taxReceipts,Tax Receipts,,,,,,,,,
Dashboard,dashboard.recentActivity,Recent Activity,,,,,,,,,
Dashboard,dashboard.quickDonation,Quick Donation,,,,,,,,,
Dashboard,dashboard.selectFund,Select Fund,,,,,,,,,
Dashboard,dashboard.amount,Amount,,,,,,,,,
Dashboard,dashboard.donationHistory,Donation History,,,,,,,,,
Dashboard,dashboard.upcomingServices,Upcoming Services,,,,,,,,,
Dashboard,dashboard.noBookings,No bookings found,,,,,,,,,
Dashboard,dashboard.pending,Pending,,,,,,,,,
Dashboard,dashboard.signOut,Sign Out,,,,,,,,,
Dashboard,dashboard.accountSettings,Account settings & delete account,,,,,,,,,
Dashboard,common.loading,Loading...,,,,,,,,,
Profile,profile.tab.myProfile,My Profile,,,,,,,,,
Profile,profile.tab.family,Family,,,,,,,,,
Profile,profile.tab.bookings,Bookings,,,,,,,,,
Profile,profile.tab.donations,Donations,,,,,,,,,
Profile,profile.tab.preferences,Preferences,,,,,,,,,
Profile,profile.personalInfo,Personal Information,,,,,,,,,
Profile,profile.fullName,Full Name,,,,,,,,,
Profile,profile.email,Email,,,,,,,,,
Profile,profile.phone,Phone,,,,,,,,,
Profile,profile.address,Address,,,,,,,,,
